backbone,chip,mask_ratio,trial,trial_seed,summer_masked,block_psnr,random_psnr,delta_rand_minus_block
600M,chip_055_202_merged.tif,0.2,0,505808435,50,41.2672,42.4304,1.1632
600M,chip_055_202_merged.tif,0.2,1,25862917,50,39.2284,43.125,3.8966
600M,chip_055_202_merged.tif,0.2,2,1792739934,50,42.2585,43.7236,1.4651
600M,chip_055_202_merged.tif,0.2,3,1412133303,50,42.9502,42.4502,-0.5
600M,chip_055_202_merged.tif,0.2,4,932187785,50,41.8977,42.4079,0.5102
600M,chip_055_202_merged.tif,0.4,0,345193102,100,38.6726,42.3904,3.7178
600M,chip_055_202_merged.tif,0.4,1,2012731232,100,39.742,42.951,3.209
600M,chip_055_202_merged.tif,0.4,2,1632124601,100,38.6932,42.5707,3.8774
600M,chip_055_202_merged.tif,0.4,3,1152179083,100,39.5705,42.9744,3.4038
600M,chip_055_202_merged.tif,0.4,4,771572452,100,39.4452,42.6563,3.2111
600M,chip_055_202_merged.tif,0.6,0,1749378543,154,38.8895,42.7309,3.8414
600M,chip_055_202_merged.tif,0.6,1,1269433025,154,32.439,42.6574,10.2184
600M,chip_055_202_merged.tif,0.6,2,888826394,154,40.0831,42.2179,2.1348
600M,chip_055_202_merged.tif,0.6,3,408880876,154,37.2705,42.3631,5.0926
